origin,ncomm,AUC,ns
lit,1,0.6089701897018971,273
lit,1,0.5770575578267887,351
lit,1,0.6263552960800668,285
lit,1,0.6196925951086956,220
lit,1,0.6127057022579412,329
lit,1,0.6149050542320048,360
lit,1,0.5762890955198648,312
lit,1,0.6014773731226074,289
lit,1,0.6129202373104811,308
lit,1,0.6116335587489433,286
lit,1,0.6126603457891799,284
lit,1,0.6049911816578483,339
lit,1,0.5969038252848617,346
lit,1,0.5928429636783089,280
lit,1,0.5890169210007267,283
lit,1,0.6130322665961385,351
lit,1,0.5917817225509535,259
lit,1,0.6056028625781321,299
lit,1,0.6398530762167126,211
lit,1,0.5974239068012142,392
lit,1,0.6073450017415536,306
lit,1,0.6073202459791862,263
lit,1,0.5588563770381954,306
lit,1,0.6278631384265189,340
lit,1,0.6346708846708848,271
lit,1,0.6292592592592592,287
lit,1,0.5903635234876181,351
lit,1,0.6527549904293136,244
lit,1,0.6330621468926555,302
lit,1,0.5577910958904109,363
lit,1,0.5983409321175279,365
lit,1,0.6716363636363636,290
lit,1,0.5761784245491934,254
lit,1,0.5499147212450699,277
lit,1,0.616107197126675,298
lit,1,0.6374622926093514,334
lit,1,0.6179667519181586,228
lit,1,0.6214731214731216,330
lit,1,0.6073388203017833,351
lit,1,0.5691236494597839,294
lit,1,0.6049759930161501,274
lit,1,0.5851990049751242,341
lit,1,0.619551229170104,354
lit,1,0.5893694901273393,282
lit,1,0.614058502947392,273
lit,1,0.6295763060468944,347
lit,1,0.6311619166927654,258
lit,1,0.5533554817275749,304
lit,1,0.6081604084321475,224
lit,1,0.6450465243568692,347
lit,1,0.592386392393623,338
lit,1,0.6063615560640733,305
lit,1,0.5851672836966956,343
lit,1,0.6395149436550711,261
lit,1,0.5548843334860285,266
lit,1,0.6395169082125604,295
lit,1,0.6364180226993026,348
lit,1,0.6228194993412385,280
lit,1,0.595525764095774,273
lit,1,0.6203522504892369,356
lit,2-3,0.8453947368421052,35
lit,2-3,0.5048076923076923,50
lit,2-3,0.7121212121212122,49
lit,2-3,0.53125,31
lit,2-3,0.6699999999999999,50
lit,2-3,0.7294721407624634,53
lit,2-3,0.619281045751634,35
lit,2-3,0.791015625,56
lit,2-3,0.5933333333333334,43
lit,2-3,0.6844444444444444,30
lit,2-3,0.7150349650349651,48
lit,2-3,0.6102564102564103,56
lit,2-3,0.6281179138321995,42
lit,2-3,0.7851851851851852,47
lit,2-3,0.5668016194331984,45
lit,2-3,0.7699652777777778,48
lit,2-3,0.4641608391608391,48
lit,2-3,0.7184873949579832,38
lit,2-3,0.583710407239819,30
lit,2-3,0.8232009925558312,57
lit,2-3,0.62406015037594,47
lit,2-3,0.7022058823529411,33
lit,2-3,0.7162698412698412,45
lit,2-3,0.6091954022988506,56
lit,2-3,0.5561224489795918,28
lit,2-3,0.6531190926275993,46
lit,2-3,0.741111111111111,60
lit,2-3,0.6394736842105262,39
lit,2-3,0.700228832951945,42
lit,2-3,0.6975574712643678,53
lit,2-3,0.6722873900293256,53
lit,2-3,0.6180555555555556,43
lit,2-3,0.7027777777777777,38
lit,2-3,0.6322751322751323,39
lit,2-3,0.7704347826086957,48
lit,2-3,0.5679347826086957,47
lit,2-3,0.7420814479638009,30
lit,2-3,0.6566558441558442,50
lit,2-3,0.6723901098901099,54
lit,2-3,0.7137254901960784,32
lit,2-3,0.726388888888889,54
lit,2-3,0.4892857142857143,48
lit,2-3,0.6511111111111112,43
lit,2-3,0.7029478458049887,42
lit,2-3,0.6445578231292517,49
lit,2-3,0.6780626780626782,53
lit,2-3,0.5816993464052287,35
lit,2-3,0.6808712121212122,46
lit,2-3,0.675,31
lit,2-3,0.636231884057971,53
lit,2-3,0.7305194805194805,50
lit,2-3,0.6997549019607843,41
lit,2-3,0.6666666666666667,52
lit,2-3,0.5785714285714285,41
lit,2-3,0.6748148148148148,52
lit,2-3,0.671195652173913,39
lit,2-3,0.6984649122807017,43
lit,2-3,0.48051948051948057,36
lit,2-3,0.779047619047619,46
lit,2-3,0.7313988095238095,52
lit,4-,0.5833333333333333,16
lit,4-,0.6825396825396826,16
lit,4-,0.962962962962963,15
lit,4-,1.0,13
lit,4-,0.9074074074074074,15
lit,4-,0.5444444444444444,19
lit,4-,0.7777777777777779,15
lit,4-,0.8571428571428571,13
lit,4-,0.7023809523809523,19
lit,4-,0.75,15
lit,4-,0.6212121212121212,17
lit,4-,0.92,15
lit,4-,1.0,8
lit,4-,0.8624999999999999,18
lit,4-,0.6296296296296297,21
lit,4-,0.6785714285714286,11
lit,4-,0.7333333333333334,14
lit,4-,0.9583333333333335,22
lit,4-,0.6590909090909091,15
lit,4-,0.7666666666666667,11
lit,4-,0.8363636363636363,21
lit,4-,0.8484848484848485,14
lit,4-,0.8428571428571429,17
lit,4-,0.7619047619047619,16
lit,4-,0.5555555555555556,12
lit,4-,0.875,18
lit,4-,0.7500000000000001,17
lit,4-,0.5454545454545454,13
lit,4-,0.8333333333333334,13
lit,4-,0.8363636363636364,21
lit,4-,0.8571428571428572,11
lit,4-,0.75,20
lit,4-,0.9047619047619049,16
lit,4-,0.875,11
lit,4-,0.725,14
lit,4-,0.85,22
lit,4-,0.890625,20
lit,4-,1.0,11
lit,4-,0.55,16
lit,4-,0.5681818181818181,15
lit,4-,0.7777777777777778,19
lit,4-,0.9523809523809523,13
lit,4-,0.6666666666666667,11
