,gw,lit
affiliations_affind,0.015200340123041667,-0.007448514488736795
authors_affind,-0.021309278279160945,-0.021466962049009972
past_affind,-0.042677659185379295,-0.01000233607791606
affiliations_affind2,0.03538584056844712,0.019310002486936543
authors_affind2,0.007852679699070185,0.00037805021179250465
past_affind2,-0.01586023893193866,0.02021586514248955
ai,-0.06476096761472738,-0.03908957232820043
ar,0.032058275637200706,0.0007660104699720662
affiliations_count,0.11076753578769082,0.12744447398017056
authors_count,0.08083617366740552,0.09025784162299472
pre_affs,0.020515202201731066,0.00042343420243391857
pre_authors,-0.018326707855563035,-0.028726756789020317
afaupa_rcomm_size,0.2021618097915938,0.23072535335719294
affiliations_rcomm_size,0.09990860884544525,0.12189184330792224
authors_rcomm_size,0.07039780248902473,0.10850866755702976
past_rcomm_size,0.2714244455539064,0.2675623421800739
afaupa_rcomm_size2,0.19624138401176588,0.23339846904634443
afaupafu_rcomm_size2,0.19979106642881359,0.2362036389042796
affiliations_rcomm_size2,0.08111257196859013,0.1006180324620015
authors_rcomm_size2,0.07740958058008789,0.07040355248150933
past_rcomm_size2,0.2217219621244465,0.2483388825529639
afaupa_rcommrel_size,-0.28230868101950235,-0.20011748122063353
afaupafu_rcommrel_size,-0.2813774648756895,-0.19000857187843026
affiliations_rcommrel_size,-0.3297144593148205,-0.3062595016639123
authors_rcommrel_size,-0.33316393270993155,-0.30848199510352625
past_rcommrel_size,-0.07209098626911947,-0.05319968973338925
afaupa_rcommrel_size2,-0.2773644970596102,-0.21176594271000213
afaupafu_rcommrel_size2,-0.2786059765567956,-0.20823561944970434
affiliations_rcommrel_size2,-0.35217249092950215,-0.3157620315927586
authors_rcommrel_size2,-0.3506862344100406,-0.31931716674302335
past_rcommrel_size2,-0.20397186930465358,-0.1575339484348293
A,-0.031214555112386605,0.01668179605596935
A_log,-0.003717243757306659,0.005309954330245577
A_log_sigma,-0.030172746026614045,0.006800681857006375
cite_count,0.00717933967772169,-0.017680178336162974
err,-0.030820481142643623,0.013936105084004518
mu,0.007398028357379118,0.0101198693595585
sigma,-0.0040215080501412055,-0.01049550390690465
