,gw,lit
degree_source_in,0.12065507599933982,0.01524625267673671
degree_source_out,0.14655382011613352,0.025888608930572266
degree_target_in,-0.002200216947955132,0.010467199646864494
degree_target_out,-0.003720114039368772,0.0022303375771656154
litgw_comm_im_dir_unwei_p95_dyn_eff_comm_size,-0.004429412807211731,-0.0065940604368002805
litgw_comm_im_dir_wei_pNone_dyn_eff_comm_size,0.04759144774736282,0.03762276225860021
litgw_comm_im_undir_unwei_p95_dyn_eff_comm_size,0.10177710842186954,0.02602029946096445
litgw_comm_im_undir_wei_pNone_dyn_eff_comm_size,0.08321980428259751,0.028852018473741227
litgw_comm_ml_undir_unwei_p95_dyn_eff_comm_size,-0.006154312610524195,-0.0019066120177813053
litgw_comm_ml_undir_wei_pNone_dyn_eff_comm_size,0.026466977141772235,0.018405043881622573
litgw_comm_im_dir_unwei_p95_dyn_same_comm,0.006014654791953203,-0.007610477897486871
litgw_comm_im_dir_wei_pNone_dyn_same_comm,0.026054877382501302,0.013806913309325047
litgw_comm_im_undir_unwei_p95_dyn_same_comm,0.00681919270455743,-0.009598356245330448
litgw_comm_im_undir_wei_pNone_dyn_same_comm,0.02027239609451745,-0.009120604173507556
litgw_comm_ml_undir_unwei_p95_dyn_same_comm,0.025409246692580996,0.006610976088441079
litgw_comm_ml_undir_wei_pNone_dyn_same_comm,0.029370325257584526,0.010753767086685954
mu*_absmed_pct,0.022733785128493843,0.024770314930249632
mu*_pct,0.03239771542077211,0.017656194417773698
