up,dn,Average Experimental Interactions ($\pi^\alpha$),Average Published Claims ($\hat\mu^\alpha$)
2,109,0.5279444868202197,1.0
2,462,0.4164900569174736,1.0
2,973,0.3984302783659799,1.0
2,1051,0.38885537191486297,1.0
2,1435,0.4302747244191799,1.0
2,1510,0.6543008352873925,1.0
2,1634,0.35968267151065436,1.0
2,1991,0.4725814774543914,1.0
2,2048,0.5741127540659074,1.0
2,2098,0.5639762652397222,1.0
2,2247,0.5444321213676425,1.0
2,2852,0.7001900165384836,1.0
2,2986,0.5870159219969339,1.0
2,3339,0.4773347122017235,1.0
2,3553,0.4656650056791354,1.0
2,3569,0.4955865758996564,1.0
2,3664,0.5043019590729153,1.0
2,3952,0.5860546344137164,1.0
2,4023,0.6008951122940075,1.0
2,4035,0.5163949536688109,1.0
2,5304,0.5391676636896588,1.0
2,5327,0.5412093854188194,1.0
2,5335,0.5482849797508688,1.0
2,5858,0.5666550327759329,1.0
2,6037,0.48231588715158863,1.0
2,6590,0.5187641694855194,1.0
2,6646,0.568513495549717,1.0
2,7039,0.5707867352248015,1.0
2,7276,0.42791860263828285,1.0
2,8038,0.43190959892972053,1.0
2,9510,0.53169359765585,1.0
2,10730,0.2233106536234385,1.0
2,10993,0.46271144302938066,1.0
2,51083,0.3304717902162698,1.0
2,55624,0.754142278770977,1.0
9,410,0.3753453427104073,1.0
9,1506,0.5313562142287996,1.0
9,1544,0.5311684144046852,1.0
9,3645,0.4854418247173564,1.0
9,4846,0.568091193770183,1.0
9,5266,0.3932202633642219,1.0
9,10249,0.5641031660803726,1.0
18,43,0.4929615261641849,1.0
18,2670,0.5755918947631828,1.0
34,35,0.6527129725373586,1.0
34,2101,0.7058609249106107,1.0
34,7299,0.6529032427655332,1.0
35,1289,0.3226162740751277,1.0
35,4016,0.3333806948790333,1.0
35,4313,0.5244853107579137,1.0
39,38,0.25841081386436626,1.0
47,28,0.5032979521537738,1.0
47,176,0.5260484150377839,1.0
47,186,0.528625716098201,1.0
47,539,0.5865980764404535,1.0
47,1154,0.4256349017972617,1.0
47,1178,0.5447776151559285,1.0
47,1181,0.49495701411824344,1.0
47,1277,0.4597034383726122,1.0
47,1368,0.6739796694827473,1.0
47,1910,0.524304685742381,1.0
47,2010,0.560371246900921,1.0
47,2152,0.3851454616507172,1.0
47,2194,0.571648470850579,1.0
47,2195,0.6200419784741751,1.0
47,2224,0.3769274090350584,1.0
47,2247,0.449655430736789,1.0
47,2691,0.49832830084236973,1.0
47,3123,0.44359016369282217,1.0
47,3586,0.549509912391076,1.0
47,3811,0.4177162933001274,1.0
