up,dn,Average Experimental Interactions ($\pi^\alpha$),Average Published Claims ($\hat\mu^\alpha$)
47,350,0.5248344745050103,1.0
47,354,0.5858066083894053,1.0
185,760,0.5320086789064161,1.0
595,1026,0.6074306148239692,1.0
595,7157,0.5694802904010611,1.0
808,539,0.5098567832322694,1.0
808,4638,0.4702311339828486,1.0
929,7097,0.36434640042134764,1.0
2099,1401,0.6370324836887059,1.0
3105,925,0.4222419055406881,1.0
3172,3630,0.863548872529659,1.0
3265,5894,0.643867050509429,1.0
3456,6772,0.9999999999966841,1.0
3458,1437,0.8441240306059745,1.0
3553,834,0.4689635985480983,1.0
3553,1371,0.448453995836926,1.0
3558,914,0.5897210298866759,1.0
3558,5788,0.5035240077881296,1.0
3565,3552,0.6138402534287623,1.0
3630,3553,0.6306602988147809,1.0
3630,3761,0.6457269465149562,1.0
3630,5578,0.5046603557703667,1.0
3630,6927,0.5039830637527686,1.0
3667,5266,0.5152032499532231,1.0
3827,3818,0.45034503444630647,1.0
4023,344,0.5920693168668295,1.0
4313,7077,0.3774430978492848,1.0
4436,4292,0.54616452718023,1.0
5111,324,0.47580669025368233,1.0
5111,902,0.4145559371507627,1.0
5269,10580,0.5671791666014226,1.0
5578,760,0.31884500596544196,1.0
5743,7124,0.5061502618177599,1.0
6646,3458,0.2974766141344256,1.0
7040,3569,0.5834747345360243,1.0
7040,4313,0.3682312728897559,1.0
7054,4852,0.21787496285332625,1.0
7124,596,0.7303672464557343,1.0
7124,1956,0.6366539312655699,1.0
7157,1119,0.38834739741915003,1.0
7422,285,0.5153085096676059,1.0
22796,1917,0.19528990500811555,1.0
154,153,0.6759829768633385,0.7
174,213,0.3016939604877546,0.9565217391304348
2353,3725,0.6966125675252168,0.9565217391304348
4313,4323,0.42332937666741266,0.9565217391304348
174,7726,0.4590919051847165,1.0
185,5972,0.6826211062741109,1.0
207,3630,0.4927614183088236,1.0
283,6277,0.3266042618573133,1.0
355,3630,0.4235208407414984,1.0
958,355,0.8611998017661582,1.0
958,7124,0.9186432232622148,1.0
1017,5925,0.5319273224363847,1.0
1604,2821,0.588982772472053,1.0
1848,2048,0.565450214930153,1.0
1977,1978,0.35034937241088154,1.0
3123,920,0.5627518082202317,1.0
3383,920,0.2997895290415979,1.0
3481,3630,0.3627425888986092,1.0
3553,3725,0.4016190333897684,1.0
3553,5027,0.46671329522075916,1.0
3553,6401,0.5481714253491828,1.0
3558,3383,0.6430026909327285,1.0
3558,7096,0.4715583814794223,1.0
3565,1437,0.47189238234438813,1.0
3565,3566,0.5104775660416407,1.0
3630,551,0.5398024947392366,1.0
3630,808,0.668154000086032,1.0
3630,1636,0.5953661734134621,1.0
3630,2821,0.534214808610834,1.0
3630,3416,0.7202380375744633,1.0
3630,3480,0.5851549041741485,1.0
3630,4846,0.3537230771477893,1.0
3630,5465,0.6492010274362594,1.0
3630,51083,0.4771576922590108,1.0
3661,3456,0.32937723409062,1.0
3932,7535,0.663562967682251,1.0
5277,2821,0.4880319811831496,1.0
5371,1437,0.4389861462273899,1.0
5805,3250,0.445636821874212,1.0
5921,1026,0.34832217610851146,1.0
6277,4878,0.45115715752178276,1.0
6714,5781,0.5452898094814126,1.0
7040,387,0.4987683690001551,1.0
7040,4088,0.5959808767025082,1.0
7040,7048,0.6464531913825973,1.0
7124,1398,0.08072834289091668,1.0
7124,3479,0.3327946147238281,1.0
7124,3667,0.646634665150304,1.0
7124,6868,0.7191340012994419,1.0
7157,5371,0.34978310291214304,1.0
7157,5728,0.5453729130332085,1.0
7157,5743,0.7874094706694231,1.0
7157,7405,0.43994256770027734,1.0
7157,29116,0.5319325751041796,1.0
7422,947,0.5012668701785481,1.0
7422,1956,0.3473577956620591,1.0
7422,3569,0.29736495020594644,1.0
7422,7040,0.5606634547520323,1.0
22796,338,0.3993961809959444,1.0
183,1636,0.7187688917880957,1.0
350,354,0.4387707269739193,1.0
355,7157,0.3183815679504964,1.0
595,1499,0.5006773939835916,1.0
1440,1441,0.5586347862142385,1.0
1956,6774,0.6069090273384565,1.0
2152,324,0.4698764550263068,1.0
2244,213,0.39429016267943245,1.0
3156,3949,0.3789639830884064,1.0
3553,7422,0.30744519271445414,1.0
3565,973,0.47122832619331084,1.0
