up,dn,Average Experimental Interactions ($\pi^\alpha$),Average Published Claims ($\hat\mu^\alpha$)
2,1555,0.42756043470155325,1.0
30,5617,0.4651143769496153,1.0
81,81,0.5174047088355871,1.0
81,87,0.44608176839063757,1.0
81,4628,0.5501325177496638,1.0
81,7276,0.4735802946716925,1.0
81,7827,0.5199401712847359,1.0
100,920,0.4713125639226227,1.0
100,1803,0.381903998486349,1.0
100,5139,0.49840646539195943,1.0
100,6277,0.3337873866383803,1.0
132,351,0.5173359568138335,1.0
135,1493,0.3648614085108024,1.0
135,4915,0.5214317775974271,1.0
135,7124,0.35478723437712323,1.0
135,7422,0.3998349920355685,1.0
136,3569,0.6156616486491611,1.0
154,6098,0.7269406865694256,1.0
159,1543,0.39348933433938776,1.0
159,7124,0.47360247178719106,1.0
159,7356,0.32938884235325705,1.0
166,3172,0.5593052095480674,1.0
183,185,0.41119133949735415,1.0
183,284,0.5281338120568497,1.0
183,285,0.6885696293192785,1.0
183,353,0.2709649634089496,1.0
183,490,0.4203897606038451,1.0
183,558,0.41632429555342226,1.0
183,688,0.45513200219131295,1.0
183,1385,0.3455598257704544,1.0
183,1392,0.746243011973923,1.0
183,1490,0.6812573217021924,1.0
183,1536,0.6032248771597372,1.0
183,1584,0.7059093678697024,1.0
183,2053,0.7226721209948144,1.0
183,2247,0.46973423185350605,1.0
183,2260,0.6799655550977388,1.0
183,2660,0.6400350313557016,1.0
183,2697,0.45051176179984254,1.0
183,3082,0.6144790299286662,1.0
183,3303,0.5098363761886955,1.0
183,3480,0.5202225403466033,1.0
183,3596,0.6755154053956389,1.0
183,3606,0.500490582263975,1.0
183,3627,0.7128605977354543,1.0
183,3630,0.6342357094584906,1.0
183,3667,0.5563586142073119,1.0
183,3791,0.6126296078496474,1.0
183,3956,0.14225865115145803,1.0
183,3988,0.5667645647039057,1.0
183,4092,0.5005656595536238,1.0
183,4318,0.7462371851903522,1.0
183,4335,0.42331311076104405,1.0
183,4609,0.46849275970708953,1.0
183,4638,0.5149365240894269,1.0
183,4846,0.43591837992584986,1.0
183,4852,0.3622769779087303,1.0
183,4878,0.5980928512242133,1.0
183,4879,0.7355319838452663,1.0
183,5136,0.5575318921093982,1.0
183,5179,0.4366628044950219,1.0
183,5617,0.27833800122324803,1.0
183,5829,0.5890188193404905,1.0
