up,dn,Average Experimental Interactions ($\pi^\alpha$),Average Published Claims ($\hat\mu^\alpha$)
100,100,0.4900852231931143,0.7
3458,941,0.6288476539009965,0.7
7124,1956,0.6366539312655699,0.7
183,183,0.4260554463244234,0.8333333333333334
183,2353,0.8105350840828266,1.0
183,5972,0.6572763411427098,0.6666666666666666
207,207,0.5394980485454584,0.603448275862069
207,2475,0.64451973058182,0.9375
3558,3586,0.6463625780376843,0.9375
207,4790,0.3282153583369143,0.8
207,5599,0.534654331634952,0.8571428571428571
3930,920,0.4941218914293052,0.8571428571428571
207,7249,0.4926189782614145,0.4
5053,5053,0.4913177135324305,0.4
353,1022,0.4607449701785493,1.0
3553,3976,0.4774903377904504,1.0
3553,4314,0.5545077205990472,1.0
3553,5743,0.47745530760846716,1.0
3827,22978,0.3241595877427788,1.0
7124,3725,0.8242430425585141,1.0
7124,5601,0.6701454394959048,1.0
7422,2321,0.6024804484224189,1.0
581,581,0.22871429862995385,0.7368421052631579
3458,3558,0.795638368876233,0.7368421052631579
581,596,0.6491557528727234,0.38461538461538464
581,836,0.45792576341818947,0.6666666666666666
598,581,0.4059080214959302,0.4666666666666667
717,717,0.46131206044700673,0.96
3930,7124,0.43308328445098176,0.96
836,596,0.4328584393490549,0.5833333333333334
836,836,0.16987845186247197,0.6470588235294118
836,54205,0.5544100903003013,0.9090909090909091
3553,7076,0.3556006416715484,0.9090909090909091
5468,5468,0.999999999945272,0.9090909090909091
7124,2353,0.6804219934127156,0.9090909090909091
842,836,0.5876405009838713,0.9230769230769231
3558,3569,0.392278719547328,0.9230769230769231
3596,6778,0.41126242204505886,0.9230769230769231
6714,1956,0.8091430066258407,0.9230769230769231
7124,6648,0.8388370547791353,0.9230769230769231
958,4790,0.9917317305306064,1.0
3458,6373,0.9991803405304411,1.0
3558,7096,0.4715583814794223,1.0
3558,50943,0.6474618172996053,1.0
3596,6356,0.646519313637003,1.0
3606,3383,0.5951809497767874,1.0
3606,4790,0.5756774531354303,1.0
7124,841,0.5370482874877135,1.0
7124,1432,0.6099633259589423,1.0
7124,9768,0.1405409983961664,1.0
1445,6714,0.8712616970142468,0.18181818181818182
1956,207,0.5292651762463629,0.6923076923076923
4790,6347,0.7689796299687202,0.6923076923076923
1956,1956,0.5356474653370776,0.5769230769230769
2159,2147,0.5338320284647151,0.9629629629629629
2353,2353,0.3449861534268356,0.8
3565,925,0.4925666603048956,0.8
2353,3725,0.6966125675252168,0.5
3162,3162,0.31446349477651286,0.6363636363636364
4313,4313,0.4089512198858132,0.6363636363636364
3383,7124,0.405536981784992,0.9166666666666666
3458,920,0.6860397397581554,0.875
7124,207,0.5796740650943295,0.875
3458,925,0.7760236509130729,0.8823529411764706
3458,942,0.8611948920441018,0.9
3553,6347,0.6226922619846272,0.9
3558,2353,0.778872369116579,0.9
3717,6774,0.5819757709231068,0.9
5879,5879,0.5016870694762576,0.9
3458,958,0.6707312742948174,1.0
3458,3627,0.999941563017438,1.0
3458,3133,0.9999993484889758,0.95
3553,5443,0.44546916269961423,0.95
3458,3383,0.9999999999998773,1.0
3458,3458,0.7048412581304186,0.8421052631578947
3458,3553,0.7404052563308097,0.7222222222222222
3458,3565,0.7747188947805266,0.6811594202898551
3458,3567,0.6768586061425683,0.6363636363636364
3458,3569,0.8653145550956587,0.76
3458,3586,0.7746064054294423,0.7547169811320755
3458,3620,0.9983941836781108,1.0
3458,3659,0.9999999616737335,0.9285714285714286
3558,3567,0.649405744654417,0.9285714285714286
3565,3567,0.5642782139053079,0.9285714285714286
7124,836,0.39552061221538926,0.9285714285714286
7124,958,0.661931093784061,0.9285714285714286
7124,7132,0.5174952018268344,0.9285714285714286
3458,3717,0.8916864510030384,1.0
3600,3458,0.6132487048986823,1.0
3930,3586,0.49617229064841084,1.0
7124,2152,0.6177328574318133,1.0
3458,4261,0.9647845827701935,1.0
3458,4283,0.9988192340599426,1.0
3458,4790,0.6430581210648523,0.8333333333333334
3565,6347,0.6795412349657437,0.8333333333333334
3458,6347,0.7322663551366254,1.0
3458,6352,0.9368454247112482,0.8461538461538461
3458,6772,0.9999999999671573,0.9864864864864865
3458,7124,0.5067212585802366,0.8108108108108109
3458,51497,0.11890485214174462,0.9375
3553,2353,0.532395322947191,0.9411764705882353
3558,51497,0.4821143282679898,0.9411764705882353
3553,3383,0.49046177950999653,0.972972972972973
3553,3553,0.5156375578859685,0.8245614035087719
3553,3558,0.33451239615768835,0.875
3586,6774,0.5760726318302,0.875
3553,3569,0.5419875846024754,0.9465648854961832
3553,4790,0.44882009407143303,0.96875
3553,6401,0.5481714253491828,0.9523809523809523
3553,7124,0.37192982365897836,0.6785714285714286
3558,920,0.5860188683065097,0.9069767441860465
3558,925,0.6372967018725024,0.8461538461538461
3558,959,0.6509796729881882,0.8125
3558,3458,0.7134770454552755,0.9818181818181818
3558,3558,0.7542475318819541,0.6888888888888889
