origin,ncomm,AUC,ns
gw,1,0.6129943502824858,119
gw,1,0.5979418195645975,291
gw,1,0.6132823269920044,241
gw,1,0.6627249182115594,243
gw,1,0.5297067901234568,161
gw,1,0.6087442472057857,247
gw,1,0.5626842379053235,152
gw,1,0.638155539645606,299
gw,1,0.6185848770118433,200
gw,1,0.6091709687215306,163
gw,1,0.6160327868852459,247
gw,1,0.630639367816092,241
gw,1,0.5523950686994165,292
gw,1,0.6305751173708921,143
gw,1,0.653379250968575,216
gw,1,0.5940586045005665,158
gw,1,0.6295397679884752,230
gw,1,0.6182475419317525,263
gw,1,0.6012596899224806,91
gw,1,0.6739479127094679,308
gw,1,0.5724766000505945,252
gw,1,0.6492537313432837,144
gw,1,0.5805628703094141,271
gw,1,0.6412988514050423,236
gw,1,0.61869918699187,101
gw,1,0.6305591890124266,271
gw,1,0.6054795928857819,279
gw,1,0.6734537072608529,251
gw,1,0.6293644298963449,172
gw,1,0.549768875192604,228
gw,1,0.6030106257378984,219
gw,1,0.6260150098425197,255
gw,1,0.633759590792839,177
gw,1,0.5689466742038816,328
gw,1,0.632179675994109,195
gw,1,0.5979166666666667,128
gw,1,0.6569428960733309,255
gw,1,0.5703458729502549,241
gw,1,0.6009166666666668,155
gw,1,0.659173126614987,88
gw,1,0.6145565664282242,240
gw,1,0.5899480136561142,323
gw,1,0.6378958120531154,166
gw,1,0.5655412844036697,234
gw,1,0.6320802641605282,251
gw,1,0.5232362821948489,85
gw,1,0.6183539496527779,272
gw,1,0.6071045888655953,294
gw,1,0.6491350284453732,186
gw,1,0.5829159407665503,194
gw,1,0.596808510638298,271
gw,1,0.5558608058608058,81
gw,1,0.6585904628330996,239
gw,1,0.6306043956043959,331
gw,1,0.599657960199005,115
gw,1,0.6478456439393938,344
gw,1,0.5925966131133305,192
gw,1,0.5980788675429727,66
gw,1,0.6032136752136751,242
gw,1,0.623784427065624,343
gw,2-3,0.5625,12
gw,2-3,0.855072463768116,38
gw,2-3,0.6141304347826086,47
gw,2-3,0.6373626373626374,27
gw,2-3,0.7959183673469388,35
gw,2-3,0.649671052631579,35
gw,2-3,0.6749999999999999,22
gw,2-3,0.6932367149758454,41
gw,2-3,0.7719298245614035,34
gw,2-3,0.5833333333333334,12
gw,2-3,0.8160173160173161,43
gw,2-3,0.654320987654321,42
gw,2-3,0.7280701754385965,37
gw,2-3,0.6264705882352941,27
gw,2-3,0.7074074074074075,33
gw,2-3,0.74,20
gw,2-3,0.7348214285714286,48
gw,2-3,0.701923076923077,29
gw,2-3,0.8857142857142857,12
gw,2-3,0.6939102564102564,50
gw,2-3,0.7753623188405797,35
gw,2-3,0.8271604938271605,18
gw,2-3,0.6785714285714286,45
gw,2-3,0.6684981684981686,34
gw,2-3,0.7954545454545454,19
gw,2-3,0.7333333333333334,30
